"","sd2.lon","sd2.lat"
"900",-86.9167,41.6667
"901",-85.4667,38.7167
"902",-85.5333,38.7167
"903",-85.42067,38.94862
"904",-86.4097,40.8003
"905",-86.83059,38.84414
"906",-85.9333,39.2
"907",-87.2701,41.5722
"908",-86.33833,39.92694
"909",-85.83445,41.65268
"910",-87.5752,37.9776
"911",-85.13285,41.19981
"912",-85.6,40.5333
"913",-87.18642,38.96777
"914",-86.03339,40.09074
"915",-85.47056,38.73818
"916",-87.00958,41.66292
"917",-86.03887,39.86939
"918",-86.06679,39.41033
"919",-86.629,39.927
"920",-87.41711,38.64528
"921",-86.91567,40.46048
"922",-86.3984,39.01518
"923",-86.72677,39.28625
"924",-85.2198,39.5953
"925",-85.18028,39.36375
"926",-85.79833,38.95941
"927",-85.36671,40.18328
"928",-85.3667,39.9167
"929",-86.66843,41.67762
"930",-87.34536,38.28988
"931",-84.90156,39.10207
"932",-87.9421,37.8924
"933",-84.97007,41.63435
"934",-86.60617,38.43469
"935",-85.2771,41.64184
"936",-86.36212,41.2754
"937",-84.95602,39.82893
"938",-85.20633,40.96009
"939",-86.25198,41.67637
"940",-87.30979,41.31999
"941",-85.0323,40.656
"942",-86.6333,41.4667
"943",-86.41698,38.72329
"944",-85.29236,41.42484
"945",-87.42528,39.10295
"946",-86.12258,41.12051
"947",-87.40703,39.41653
"948",-85.78873,41.32371
"949",-85.53939,41.53936
"950",-87.20523,39.88455
"951",-87.3015,38.05989
"952",-87.7807,38.34061
"953",-84.99358,39.59086
"954",-87.4894,40.9819
"955",-94.8333,38.8667
"956",-99.3333,38.8833
"957",-95.25,38.9833
"958",-95.2833,39
"959",-94.75,39.05
"960",-101.7833,39.2833
"961",-99.1167,39.6667
"962",-95.85,37.25
"963",-96.9833,37.25
"964",-97.1167,37.35
"965",-96.0667,37.3667
"966",-94.6833,37.3833
"967",-97.1167,37.3833
"968",-95.2333,37.4333
"969",-99.8833,37.4333
"970",-97.85,37.7667
"971",-94.7667,38.1833
"972",-98.7167,38.3667
"973",-97.65,38.4333
"974",-95.6833,38.6833
"975",-99.3833,38.7833
"976",-99.4167,38.8167
"977",-97.03928,37.03825
"978",-95.27133,38.78236
"979",-95.13417,39.60916
"980",-94.9004,39.17238
"981",-99.7667,38.75
"982",-98.6666,38.4333
"983",-101.85372,37.11045
"984",-100.00996,37.77774
"985",-96.8044,37.862
"986",-96.08346,38.4456
"987",-99.40184,38.83148
"988",-97.43379,38.05986
"989",-96.88128,39.00056
"990",-99.53,38.03
"991",-98.2667,37.6333
"992",-99.12233,39.68772
"993",-95.31111,38.99333
"994",-94.75,38.2833
"995",-100.85735,37.12221
"996",-96.5667,39.1833
"997",-97.07483,38.37723
"998",-94.85214,38.9127
"999",-95.40315,39.20137
"1000",-95.25276,37.4643
"1001",-98.4833,38.15
"1002",-97.8667,37.9
"1003",-98.42,37.13
"1004",-98.6833,37.5333
"1005",-100.90639,38.58432
"1006",-97.63103,38.84173
